epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1798.35,1.35777,1.07986,1.18791,0.03182,0.70842,0.03287,0.01413,1.81996,18.9748,1.60863,0.000332472,0.000332472,0.0670853
2,2141.18,1.32324,0.76707,1.17092,0.34367,0.64954,0.49453,0.22629,1.71223,1.58111,1.45945,0.000643834,0.000643834,0.0340633
3,2391.4,1.31478,0.71431,1.1571,0.46283,0.63486,0.51759,0.21067,1.97131,1.70933,1.51369,0.000933196,0.000933196,0.00101933
4,2643.15,1.28661,0.69566,1.14619,0.88806,0.78058,0.83239,0.32978,1.95328,1.00642,1.58158,0.000901,0.000901,0.000901
5,2883.67,1.30025,0.66892,1.14974,0.76777,0.78338,0.77033,0.27829,2.14604,1.01312,1.59664,0.000868,0.000868,0.000868
6,3136.1,1.28406,0.64795,1.14368,0.91748,0.84732,0.90768,0.45596,1.57659,0.79103,1.24317,0.000835,0.000835,0.000835
7,3383.06,1.25488,0.6117,1.11962,0.90769,0.8462,0.90638,0.48519,1.48688,0.71489,1.19769,0.000802,0.000802,0.000802
8,3625.77,1.22646,0.59228,1.10852,0.93188,0.87812,0.92639,0.51593,1.48581,0.6859,1.1837,0.000769,0.000769,0.000769
9,3868.34,1.2096,0.57231,1.10096,0.94348,0.90333,0.9441,0.54731,1.38498,0.64772,1.14531,0.000736,0.000736,0.000736
10,4108.06,1.17465,0.55919,1.0768,0.93766,0.91067,0.94393,0.54637,1.38235,0.62299,1.14157,0.000703,0.000703,0.000703
11,4350.05,1.18156,0.55145,1.07934,0.97069,0.92972,0.96251,0.58054,1.2953,0.57901,1.11508,0.00067,0.00067,0.00067
12,4590.24,1.15648,0.53304,1.0691,0.96137,0.92503,0.95968,0.60704,1.19905,0.56151,1.07328,0.000637,0.000637,0.000637
13,4830.34,1.14759,0.53056,1.06629,0.96979,0.92763,0.96179,0.60567,1.2243,0.54985,1.09405,0.000604,0.000604,0.000604
14,5070.51,1.1287,0.51654,1.05616,0.97454,0.9325,0.96452,0.62665,1.18225,0.5154,1.06926,0.000571,0.000571,0.000571
15,5310.42,1.12479,0.51148,1.05023,0.97745,0.93394,0.96592,0.64375,1.12604,0.50411,1.04231,0.000538,0.000538,0.000538
16,5548.9,1.12519,0.51343,1.05305,0.94845,0.93679,0.93427,0.62351,1.11121,0.52854,1.0462,0.000505,0.000505,0.000505
17,5792.41,1.124,0.50654,1.04785,0.96587,0.94097,0.95456,0.64016,1.11348,0.50741,1.03929,0.000472,0.000472,0.000472
18,6039.33,1.11077,0.49192,1.04641,0.94546,0.94219,0.93106,0.62896,1.08157,0.50441,1.02999,0.000439,0.000439,0.000439
19,6281.67,1.10061,0.48626,1.04401,0.96923,0.94448,0.95606,0.65801,1.06641,0.46843,1.01632,0.000406,0.000406,0.000406
20,6529.14,1.08301,0.47771,1.03193,0.97997,0.94596,0.97015,0.6622,1.09997,0.47239,1.03899,0.000373,0.000373,0.000373
21,6791.19,1.07069,0.47097,1.02736,0.9852,0.94706,0.9719,0.67459,1.05982,0.45801,1.01627,0.00034,0.00034,0.00034
22,7063.51,1.08437,0.46941,1.03222,0.97933,0.94732,0.97012,0.66994,1.07251,0.45791,1.02337,0.000307,0.000307,0.000307
23,7308.48,1.06711,0.46067,1.02449,0.9818,0.94831,0.97151,0.67547,1.06303,0.45033,1.01556,0.000274,0.000274,0.000274
24,7551.18,1.07604,0.46272,1.02971,0.98273,0.95049,0.97081,0.67439,1.06194,0.45003,1.02154,0.000241,0.000241,0.000241
25,7824.16,1.06711,0.45687,1.02495,0.98519,0.94815,0.97232,0.67649,1.0558,0.44428,1.01772,0.000208,0.000208,0.000208
26,8154.86,1.05372,0.44926,1.01574,0.98362,0.95018,0.97196,0.67125,1.06903,0.44429,1.02371,0.000175,0.000175,0.000175
27,8488.9,1.05279,0.4456,1.01727,0.98767,0.95079,0.97677,0.6772,1.05676,0.44033,1.02087,0.000142,0.000142,0.000142
28,9439.59,1.0383,0.43816,1.01484,0.98636,0.95112,0.97267,0.68059,1.04599,0.4341,1.01385,0.000109,0.000109,0.000109
29,9781.95,1.04532,0.43569,1.01728,0.98704,0.95151,0.9769,0.67373,1.0638,0.43629,1.0213,7.6e-05,7.6e-05,7.6e-05
30,10128.3,1.02587,0.43098,1.00934,0.98736,0.9515,0.97273,0.67636,1.06034,0.43467,1.01758,4.3e-05,4.3e-05,4.3e-05
